kommune;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Hele landet;566;475;431;429;410;389;367;382;480;791;944;1079;1094;1144
Region Hovedstaden;158;151;124;123;89;99;112;119;149;250;301;314;319;345
København;48;57;45;49;30;49;40;72;74;123;149;154;132;150
Frederiksberg;6;1;4;1;4;4;6;6;7;14;9;8;16;26
Dragør;0;0;0;2;1;1;1;0;0;0;0;0;2;0
Tårnby;3;0;0;1;1;0;3;2;2;4;3;8;5;6
Albertslund;6;12;8;3;3;1;0;1;3;4;4;5;5;8
Ballerup;3;6;3;1;2;4;7;2;3;4;8;8;11;14
Brøndby;0;8;3;5;1;1;3;1;1;1;34;10;6;12
Gentofte;7;6;2;2;7;2;4;1;4;4;4;9;6;8
Gladsaxe;8;1;5;3;1;4;0;1;3;5;2;9;7;8
Glostrup;3;1;2;0;1;1;4;1;3;4;4;1;8;6
Herlev;3;1;1;3;1;0;3;1;3;4;6;4;7;3
Hvidovre;6;5;7;4;2;2;4;2;2;10;7;8;8;13
Høje-Taastrup;5;3;3;6;2;1;6;1;8;7;7;10;6;14
Ishøj;4;1;1;1;1;3;1;3;0;6;1;4;8;7
Lyngby-Taarbæk;5;2;1;0;0;1;1;2;11;2;3;5;12;10
Rødovre;6;6;3;3;2;3;0;1;2;5;3;6;4;7
Vallensbæk;1;1;3;0;0;0;0;0;1;1;0;2;4;1
Allerød;2;1;2;0;2;1;2;1;0;2;5;1;2;1
Egedal;2;3;0;1;2;1;1;2;2;3;4;3;4;4
Fredensborg;2;0;5;0;2;0;2;1;1;6;1;8;5;2
Frederikssund;5;13;6;3;9;1;2;5;4;3;3;7;10;11
Furesø;1;1;1;3;0;1;0;1;0;2;4;4;4;4
Gribskov;5;5;3;2;3;0;2;2;2;9;6;4;4;6
Halsnæs;6;2;2;3;3;4;4;0;1;3;11;4;6;10
Helsingør;11;6;4;9;4;7;6;3;2;5;6;13;9;4
Hillerød;5;4;4;14;3;4;4;5;6;10;7;9;6;3
Hørsholm;1;1;2;0;0;1;2;0;0;1;1;2;5;2
Rudersdal;2;0;2;2;1;0;2;1;0;3;2;4;5;1
Bornholm;2;4;2;2;1;2;2;1;4;5;7;4;12;4
Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;69;78;66;75;75;47;59;65;81;106;149;200;165;175
Greve;2;6;5;8;2;0;2;3;5;5;3;8;6;13
Køge;3;5;1;3;0;3;1;7;5;12;9;14;6;6
Lejre;1;0;1;2;0;1;2;2;0;3;3;4;3;1
Roskilde;6;12;7;7;8;4;7;6;10;12;26;16;26;16
Solrød;0;2;0;1;5;0;1;1;0;1;0;2;1;0
Faxe;1;4;3;1;2;0;1;4;2;4;7;12;6;5
Guldborgsund;9;8;8;3;6;3;2;8;3;9;14;18;14;24
Holbæk;3;6;6;12;9;10;6;3;6;8;15;10;13;10
Kalundborg;5;1;10;7;2;2;6;7;1;2;10;10;12;10
Lolland;3;8;4;9;4;6;7;4;7;9;5;22;18;16
Næstved;8;10;6;4;5;5;6;4;8;12;17;25;14;20
Odsherred;3;3;2;4;11;3;1;2;1;1;12;5;3;12
Ringsted;1;1;2;2;6;4;1;3;2;4;2;3;4;4
Slagelse;8;6;5;8;9;4;9;5;11;16;8;19;17;16
Sorø;4;1;2;0;1;1;1;3;13;0;4;8;8;3
Stevns;2;1;1;3;2;0;0;1;0;1;5;13;2;5
Vordingborg;10;4;3;1;3;1;6;2;7;7;9;11;12;14
Region Syddanmark;128;92;117;98;114;99;82;73;102;168;200;221;269;270
Assens;5;2;1;3;6;0;6;1;3;1;3;10;10;3
Faaborg-Midtfyn;2;1;3;2;1;4;2;1;5;4;11;4;14;11
Kerteminde;1;2;3;1;0;2;0;1;0;0;3;2;2;1
Langeland;0;1;0;3;0;0;0;0;1;3;1;1;2;0
Middelfart;0;0;0;3;7;3;0;1;2;4;3;6;4;4
Nordfyns;2;3;2;2;0;2;1;1;2;0;1;6;2;2
Nyborg;4;2;5;1;5;2;1;2;9;5;5;2;6;2
Odense;37;14;22;28;23;18;17;15;21;39;25;34;35;39
Svendborg;7;5;7;4;8;6;7;2;5;6;14;9;7;8
Ærø;0;2;0;1;0;0;0;0;0;0;1;1;1;1
Billund;0;2;1;3;1;0;0;1;1;5;2;5;6;7
Esbjerg;16;14;16;14;8;14;12;12;9;12;26;33;31;34
Fanø;0;0;0;0;1;0;0;2;0;3;0;0;2;0
Fredericia;9;6;10;4;2;1;4;2;5;9;9;10;13;13
Haderslev;2;3;7;1;10;6;7;5;3;6;12;11;16;22
Kolding;6;5;6;7;7;4;6;6;5;23;12;15;14;19
Sønderborg;10;5;3;7;6;13;2;5;8;10;12;11;20;17
Tønder;3;3;6;1;4;3;2;3;3;6;9;1;9;14
Varde;1;3;7;3;2;0;2;2;7;4;6;4;26;22
Vejen;3;6;2;2;3;3;4;2;2;4;6;15;11;11
Vejle;8;10;6;5;10;11;4;6;7;18;22;32;23;33
Aabenraa;12;3;10;3;10;7;5;3;4;6;17;9;15;7
Region Midtjylland;130;99;77;76;83;88;71;65;84;161;158;205;220;208
Favrskov;0;0;1;2;2;0;1;5;4;4;3;7;16;12
Hedensted;3;0;2;2;3;4;1;3;0;4;5;8;2;7
Horsens;13;7;5;7;3;5;6;4;2;8;15;15;18;11
Norddjurs;12;6;10;2;4;1;4;1;0;5;4;7;11;6
Odder;2;0;2;0;1;1;0;0;1;2;4;2;1;2
Randers;9;9;8;3;8;5;6;8;16;11;13;14;19;17
Samsø;0;1;0;1;0;0;0;0;0;2;2;2;1;1
Silkeborg;8;11;3;2;1;6;3;3;8;5;15;14;15;12
Skanderborg;3;3;6;2;4;1;0;2;4;1;5;7;8;6
Syddjurs;2;0;0;2;2;4;1;0;1;3;4;5;9;4
Aarhus;46;28;11;16;11;20;12;17;23;49;38;47;48;49
Herning;4;5;8;3;13;13;7;6;4;20;15;23;12;13
Holstebro;5;8;2;5;4;3;3;2;8;10;4;11;11;16
Ikast-Brande;6;5;2;2;6;1;4;2;2;4;5;7;6;8
Lemvig;1;1;1;2;0;1;1;1;0;1;0;1;1;1
Ringkøbing-Skjern;1;4;2;9;7;2;4;3;2;5;1;6;7;10
Skive;4;2;2;6;6;1;9;4;4;11;6;14;13;8
Struer;0;2;3;3;3;2;1;0;0;1;5;2;7;4
Viborg;11;7;9;7;5;18;8;4;5;15;14;13;15;21
Region Nordjylland;66;45;40;48;47;45;35;50;54;88;105;92;94;115
Brønderslev;4;2;2;4;1;6;1;3;8;15;4;3;3;2
Frederikshavn;6;6;4;4;4;1;2;2;3;4;20;12;5;4
Hjørring;7;4;5;5;2;3;4;6;6;12;15;6;9;17
Jammerbugt;2;2;2;2;2;2;4;2;2;4;3;8;5;13
Læsø;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Mariagerfjord;9;4;4;2;2;2;2;1;4;5;7;4;6;9
Morsø;0;4;4;1;3;1;3;2;2;1;4;0;2;2
Rebild;3;0;0;0;1;1;1;1;0;2;0;0;1;9
Thisted;2;5;1;3;6;1;3;4;2;4;1;6;10;10
Vesthimmerlands;7;1;0;4;1;1;3;5;4;5;9;6;2;8
Aalborg;26;17;18;18;25;27;12;24;23;36;42;47;51;41
Uoplyst kommune;15;10;7;9;2;11;8;10;10;18;31;47;27;31
;;;;;;;;;;;;;;
